,ERed
1080,1.24
1081,1.44
1082,1.11
1083,1.73
1084,1.67
1085,1.2
1086,1.13
1087,1.45
1088,1.19
1089,1.11
1090,1.35
1091,1.39
1092,1.46
1093,1.57
1094,1.33
1095,1.4
1096,1.2
1097,1.51
1098,1.44
1099,1.52
1100,1.2
1101,1.16
1102,1.56
1103,1.66
1104,1.36
1105,1.27
1106,1.25
1107,1.25
1108,1.22
1109,1.25
1110,1.15
1111,1.2
1112,1.25
1113,1.27
1114,1.57
1115,1.13
1116,1.77
1117,1.39
1118,1.49
1119,1.52
1120,1.13
1121,1.51
1122,1.39
1123,1.15
1124,1.3
1125,1.42
1126,1.6
1127,1.44
1128,1.53
1129,1.14
1130,1.26
1131,1.39
1132,1.48
1133,1.36
1134,1.72
1135,1.28
1136,1.21
1137,1.2
1138,1.42
1139,1.16
1140,1.11
1141,1.61
1142,1.25
1143,1.52
1144,1.29
1145,1.34
1146,1.17
1147,1.09
1148,1.2
1149,1.07
1150,1.32
1151,1.29
1152,1.49
1153,1.12
1154,1.26
1155,1.15
1156,1.45
1157,1.3
1158,1.38
1159,1.39
1160,1.63
1161,1.2
1162,1.3
1163,1.45
1164,1.36
1165,1.61
1166,1.58
1167,1.51
1168,1.12
1169,1.08
1170,1.31
1171,1.24
1172,1.4
1173,1.18
1174,1.45
1175,1.13
1176,1.49
1177,1.13
1178,1.42
1179,1.4
1180,1.47
1181,1.28
1182,1.35
1183,1.14
1184,1.18
1185,1.67
1186,1.39
1187,1.46
1188,1.11
1189,1.66
1190,1.57
1191,1.5
1192,1.37
1193,1.3
1194,1.66
1195,1.09
1196,1.21
1197,1.35
1198,1.51
1199,1.14
1200,1.33
1201,1.44
1202,1.12
1203,1.17
1204,1.46
1205,1.42
1206,1.39
1207,1.21
1208,1.6
1209,1.39
1210,1.3
1211,1.11
1212,1.55
1213,1.17
1214,1.61
1215,1.38
1216,1.56
1217,1.33
1218,1.41
1219,1.47
1220,1.39
1221,1.11
1222,1.19
1223,1.52
1224,1.11
1225,0.9
1226,1.27
1227,1.35
1228,1.45
1229,1.42
1230,1.12
1231,1.18
1232,1.5
1233,1.35
1234,1.38
1235,1.25
1236,1.52
1237,1.13
1238,1.4
1239,1.44
1240,1.37
1241,1.14
1242,1.23
1243,1.63
1244,1.32
1245,1.07
1246,1.58
1247,1.41
1248,1.25
1249,1.61
1250,1.17
1251,1.11
1252,1.22
1253,1.36
1254,1.07
1255,1.11
1256,1.53
1257,1.46
1258,1.17
1259,1.07
1260,1.69
1261,1.48
1262,1.22
1263,1.52
1264,1.55
1265,1.31
1266,1.36
1267,1.36
1268,1.44
1269,1.29
1270,1.16
1271,1.42
1272,0.88
1273,1.17
1274,1.45
1275,1.67
1276,1.28
1277,1.5
1278,1.58
1279,1.19
1280,1.44
1281,1.24
1282,1.37
1283,1.32
1284,1.37
1285,1.48
1286,1.46
1287,1.22
1288,1.54
1289,1.2
1290,1.08
1291,1.5
1292,1.08
1293,1.48
1294,0.99
1295,1.6
1296,1.45
1297,1.02
1298,1.12
1299,1.15
1300,1.51
1301,1.28
1302,1.11
1303,1.37
1304,1.45
1305,1.35
1306,1.66
1307,1.64
1308,1.06
1309,1.21
1310,1.1
1311,1.31
1312,1.12
1313,1.36
1314,1.38
1315,1.11
1316,1.09
1317,1.24
1318,1.56
1319,1.2
1320,1.46
1321,1.32
1322,1.41
1323,1.13
1324,1.21
1325,1.1
1326,1.34
1327,1.51
1328,1.25
1329,1.57
1330,1.41
1331,1.39
1332,1.45
1333,1.49
1334,1.67
1335,1.46
1336,1.05
1337,1.58
1338,1.16
1339,1.44
1340,1.23
1341,1.33
1342,1.48
1343,1.47
1344,1.02
1345,1.22
1346,1.41
1347,1.47
1348,1.57
1349,1.5
1350,1.15
1351,1.49
1352,1.25
1353,1.38
1354,1.12
