,SMILES,ERed
330,CCNc1c2c(c(N(C)C)c3nsnc13)OCCO2,1.38
331,CCCC1Oc2cc3nsnc3c(OC)c2OC1CCC,1.44
332,CCOc1cc(C)c2nsnc2c1CC,1.5
333,CNc1cc2c(c3nsnc13)OCC(C)O2,1.44
334,Cc1c2c(cc3nsnc13)OC(CC(C)C)C(CC(C)C)O2,1.55
335,CCOC1N(C)c2cc3nsnc3c(CC)c2N1C(C)C,1.08
336,CCN1CN(CCN(C)C)c2cc3nsnc3c(OC)c21,1.2
337,CCN1CN(C)c2cc3nsnc3c(/[NH+]=C(/[O-])CC(C)C)c21,1.28
338,CCCN1c2cc3nsnc3c(C)c2N(CCC)C1OCC,1.11
339,CCC(C)C1COc2c(c(N(C)C)c3nsnc3c2C)O1,1.43
340,CCC1COc2c(cc3nsnc3c2CC(C)C)O1,1.6
341,CCCc1c2c(c(/[NH+]=C(\C)[O-])c3nsnc13)N(CC)CN2C,1.21
342,CCC1Oc2cc3nsnc3cc2OC1CC,1.54
343,CCCC1COc2c(c(C)c3nsnc3c2N(C)CC)O1,1.31
344,CCCCN(c1c2c(cc3nsnc13)C1CCC2CC1)C(C)C,1.43
345,CCC(C)N(C)CCc1c2c(cc3nsnc13)OC(C)CO2,1.58
346,CCC(C)c1c2c(c(OC(C)C)c3nsnc13)N(C)CN2C,1.15
347,CC(=O)Oc1c2c(c(C)c3nsnc13)OCCO2,1.61
348,COc1c2c(c(C)c3nsnc13)OC(CCN(C)C)CO2,1.53
349,CCCC1Oc2c(cc3nsnc3c2OC)OC1CC,1.58
350,CCCC/C([O-])=[NH+]\c1c2c(cc3nsnc13)N(C)CN2CC,1.2
351,CCCC1COc2c(c(NC)c3nsnc3c2C)O1,1.35
352,CCCN1CN(CC(C)C)c2cc3nsnc3c(N(C)C)c21,1.09
353,CCCC(=O)Oc1c2c(c(C)c3nsnc13)OCC(C)O2,1.6
354,CCC1COc2c(cc3nsnc3c2OC)O1,1.52
355,CCCN1c2cc3nsnc3cc2N(C)C1OC(C)C,1.12
356,CC(C)C(=O)Oc1c2c(cc3nsnc13)N(C)CN2C,1.28
357,CCCN1CCN(C(C)CC)c2cc3nsnc3c(OC)c21,1.35
358,COc1cc2nsnc2c(OC(C)C)c1C,1.47
359,CCCc1c2c(cc3nsnc13)CC(C)O2,1.44
360,CCCCOc1c2c(cc3nsnc13)N(CCC)CN2C,1.2
361,CCCN1CCN(C)c2c1c(OC)c1nsnc1c2C(C)C,1.24
362,CC/C([O-])=[NH+]\c1c2c(cc3nsnc13)OC(CC)C(C)O2,1.66
363,CCOc1c2c(c(C)c3nsnc13)OC(C(C)C)CO2,1.46
364,CCCCC1COc2c(c(CC)c3nsnc3c2C)O1,1.45
