SMILES,ERed,MolWT,NValE,MolLogP
CCCN1CN(C(C)C)c2c1cc1nsnc1c2C,1.24,276.14,102,3.4
CCCN1CN(C)c2c1cc1nsnc1c2C,1.12,248.11,90,2.62
CNc1c2c(c(C)c3nsnc13)OCCC2,1.38,235.08,84,2.37
CNc1c2c(cc3nsnc13)OCCC2C,1.43,235.08,84,2.62
CCNc1c2c(cc3nsnc13)OC(C)C2C,1.37,249.09,90,3.01
CCCN1CN(C(C)CC)c2cc3nsnc3c(C)c21,1.13,290.16,108,3.79
CC1CNc2c(c3c(c4nsnc24)CCO3)C1,1.43,247.08,88,2.23
CCNc1c2c(cc3nsnc13)N(CC)CN2C,1.13,263.12,96,2.36
CCNc1c2c(cc3nsnc13)N(CC)CN2C(C)C,1.12,291.15,108,3.14
Cc1c2c(cc3nsnc13)N(C)CN2C(C)C,1.09,248.11,90,2.62
CCC(C)OC1N(C)c2cc3nsnc3cc2N1C,1.11,278.12,102,2.68
CNc1c2c(cc3nsnc13)OCCC2,1.41,221.06,78,2.06
CCCCN1CN(CC)c2cc3nsnc3c(C)c21,0.93,276.14,102,3.4
CCNc1c2c(cc3nsnc13)N(CC)CN2CC,0.86,277.14,102,2.75
CCN1c2cc3nsnc3cc2N(C)C1OC,1.11,250.09,90,1.9
COc1cc(NC(C)C)c2nsnc2c1,1.23,223.08,80,2.52
Cc1c2c(cc3nsnc13)N(C)CN2CC(C)C,1.07,262.13,96,2.87
CCCCN1CN(CCOC)c2cc3nsnc3cc21,1.23,292.14,108,2.72
CNc1cc2c(c3nsnc13)CCC(C)O2,1.28,235.08,84,2.45
CNc1c2c(cc3nsnc13)N(C(C)C)CN2C,1.21,263.12,96,2.36
CCCOc1cc(NC)c2nsnc2c1,1.3,223.08,80,2.52
CNc1c2c(cc3nsnc13)OCC(C)C2,1.41,235.08,84,2.3
CCNc1c(N(C)C)c(C)cc2nsnc12,1.49,236.11,86,2.5
CCCCN1CN(CCC)c2cc3nsnc3cc21,1.08,276.14,102,3.49
CCC(C)N1CN(C)c2cc3nsnc3c(C)c21,0.86,262.13,96,3.01
CNc1c2c(c(C)c3nsnc13)N(C(C)C)CCN2C,1.35,291.15,108,2.71
CCN1CN(C(C)C)c2c1c(C)c1nsnc1c2C,1.17,276.14,102,3.32
Cc1c2c(c(C)c3nsnc13)N(C(C)C)CN2C,1.15,262.13,96,2.93
Cc1c2c(cc3nsnc13)N(C)C(OC(C)C)N2C,1.19,278.12,102,2.59
CCCCOc1cc(NC)c2nsnc2c1,1.37,237.09,86,2.91
CCN1CN(C)c2c1c(NC)c1nsnc1c2C,1.22,263.12,96,2.28
CCNc1c2c(c(OC)c3nsnc13)N(C)CCN2C,1.53,293.13,108,2.02
CCCOc1cc(NCC)c2nsnc2c1,1.35,237.09,86,2.91
CCC(C)N1CCN(CC)c2cc3nsnc3c(OC)c21,1.2,306.15,114,3.14
CCc1c2c(c(C)c3nsnc13)CC(C)O2,1.37,234.08,84,2.89
COc1cc2nsnc2c2c1C(C)(C)CN2,1.42,235.08,84,2.4
CNc1c(C)c2c(c3nsnc13)C(C)CO2,1.39,235.08,84,2.54
CNc1c(C)c2c(c3nsnc13)CCO2,1.4,221.06,78,1.98
Cc1c2c(c(C)c3nsnc13)OC(C)C2,1.38,220.07,78,2.63
CNc1cc(OC)cc2nsnc12,1.39,195.05,68,1.74
CNc1c2c(cc3nsnc13)CCC2C,1.63,219.08,78,2.78
CC(C)CNc1c2c(cc3nsnc13)C1CCC2C1,1.35,273.13,100,4.12
CCN1CCN(C)c2c1c(C)c1nsnc1c2NC,1.29,277.14,102,2.32
CNc1c2c(cc3nsnc13)N(CCOC)CCN2C,1.25,293.13,108,1.64
CCN1CN(C)c2c1cc1nsnc1c2NC(C)C,1.18,277.14,102,2.75
CCCN1CCN(CC)c2cc3nsnc3c(OC)c21,1.3,292.14,108,2.76
CCNc1c2c(c(CC)c3nsnc13)C1CCC2C1,1.53,273.13,100,4.05
CCNc1c2c(cc3nsnc13)N(C)CN2C(C)C,1.11,277.14,102,2.75
CNc1cc2c(c3nsnc13)CC(C)CO2,1.42,235.08,84,2.3
CCNc1c2c(cc3nsnc13)OCC2C,1.44,235.08,84,2.62
CCCN1CN(C)c2c1cc1nsnc1c2NC,1.27,263.12,96,2.36
CCCN1CCN(C)c2c1c(C)c1nsnc1c2NC,1.33,291.15,108,2.71
CNc1c2c(c(C)c3nsnc13)OC(C)C2,1.27,235.08,84,2.36
CNc1c2c(cc3nsnc13)OCCN2C,1.4,236.07,84,1.56
CCC1Cc2c(c(C)c3nsnc3c2C)O1,1.42,234.08,84,3.02
