,SMILES,ERed
225,CCc1c2c(c(OCC(C)C)c3nsnc13)OCC(C)O2,1.43
226,CCN(C)c1c2c(c(OC(C)C)c3nsnc13)OCCO2,1.45
227,CCC(C)c1ccc(C(C)C)c2nsnc12,1.49
228,COCCN1CN(C)c2c1cc1nsnc1c2N(C)C,1.11
229,CCC(C)OCCc1c2c(cc3nsnc13)C1CCC2CC1,1.55
230,CCCN1CN(C)c2c1cc1nsnc1c2OCC(C)C,1.15
231,CCc1c2c(cc3nsnc13)N(C)CCN2CCN(C)C,1.18
232,CCCCC1COc2c(ccc3nsnc23)O1,1.58
233,CCc1c2c(c(C(C)C)c3nsnc13)C1CCC2CC1,1.09
234,CCOC1N(C)c2cc3nsnc3c(/[NH+]=C(\C)[O-])c2N1C,1.28
235,CCCC1COc2c(cc3nsnc3c2C(C)C)O1,1.45
236,CC/C([O-])=[NH+]\c1c2c(cc3nsnc13)OC(C)C(C)O2,1.63
237,CCN1CN(C)c2c1c(C)c1nsnc1c2OC(C)C,1.19
238,CCCN1CCN(CC)c2c1cc1nsnc1c2NCC,1.17
239,CC(C)c1c2c(cc3nsnc13)OCC(C(C)C)O2,1.32
240,CCC(C)N1c2cc3nsnc3cc2N(CC)C1OC,1.15
241,COCCN(c1c2c(cc3nsnc13)OCCO2)C(C)C,1.47
242,CCCN1CCN(C)c2c1cc1nsnc1c2/[N+](C)=C(\C)[O-],1.35
243,CCCOc1c(N(C)C)c(N(C)C)c(OC)c2nsnc12,1.47
244,Cc1c(N(C)C)c(N(C)C)c(OC(C)C)c2nsnc12,1.36
245,CCc1c2c(cc3nsnc13)N(CC)C(OC)N2C(C)C,1.18
246,CC(C)CN1c2cc3nsnc3cc2CC1C,1.28
247,c1c2c(cc3nsnc13)OCC2,1.52
248,CC(C)Nc1c2c(cc3nsnc13)N(C)CCN2C,1.24
249,CCc1c2c(c(OC(C)=O)c3nsnc13)OCC(CC)O2,1.59
250,CCN1c2c(cc3nsnc3c2C)N(C)C1OC,1.14
251,CCCN(C)c1c2c(cc3nsnc13)N(C(C)C)CCN2C,1.36
252,CCN1CN(C(C)C)c2cc3nsnc3c(OCC(C)C)c21,1.09
253,CCN(C)c1c2c(c(CC(C)C)c3nsnc13)OC(C)CO2,1.45
254,CCC(C)N1CCN(C)c2cc3nsnc3c(N(C)C)c21,1.15
255,CCCN1c2cc3nsnc3c(OC)c2N(CC)C1OC,1.18
256,CCC1COc2cc3nsnc3c(OCC(C)C)c2O1,1.58
257,CCCN1CCN(C(C)C)c2c1cc1nsnc1c2C,1.29
258,CCCCc1c2c(c(OCC)c3nsnc13)OCC(C)O2,1.44
259,CCCc1c2c(c(CCC)c3nsnc13)OC(CC)CO2,1.36
260,CCc1c(N(CC)C(C)C)c(N(C)CC)c(C)c2nsnc12,1.48
261,CCN1CCN(C)c2cc3nsnc3c(CCOC)c21,1.16
262,CCOc1c2c(cc3nsnc13)OC(C)C(C(C)CC)O2,1.55
263,CCC1COc2c(c(CC(C)C)c3nsnc3c2C(C)C)O1,1.41
264,CCOc1c2c(cc3nsnc13)N(CC)C(OC)N2C,1.17
265,CCC1COc2c(c(N(C)C)c3nsnc3c2N(C)C)O1,1.41
266,CCCCc1c2c(c(OC)c3nsnc13)OCCO2,1.44
267,Cc1c2c(cc3nsnc13)N(CC(C)C)CN2C(C)C,1.09
